QM,ORIGINAL,BM3D,KSVD,WNNM,FOE,NCSR,EPLL
"MSE",449.898635502755,1794.79324503917,NaN,NaN,NaN,NaN,NaN
"PSNR",25.1429743822519,26.3216330340599,NaN,NaN,NaN,NaN,NaN
"SSIM",0.192156271976181,0.201665334994327,NaN,NaN,NaN,NaN,NaN
"TIME",0,5.99362114,NaN,NaN,NaN,NaN,NaN
